Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 1
Frequency, 1000
Phase Angle, 0
DC Offset, 0


Input Voltage 2
Type, sinusoidal
Amplitude, 5
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0.00672,1.04898,-1.1469
0.00674,1.05471,-1.12008
0.00676,1.06043,-1.09658
0.00678,1.06616,-1.07597
0.0068,1.07188,-1.05791
0.00682,1.07759,-1.04208
0.00684,1.08331,-1.02821
0.00686,1.08902,-1.01605
0.00688,1.09473,-1.00539
0.0069,1.10043,-0.996048
0.00692,1.10613,-0.987863
0.00694,1.11183,-0.98069
0.00696,1.11752,-0.974405
0.00698,1.12321,-0.968899
0.007,3.1289,0.969259
0.00702,3.13458,0.85504
0.00704,3.14026,0.754906
0.00706,3.14594,0.667118
0.00708,3.15161,0.590154
0.0071,3.15728,0.522679
0.00712,3.16295,0.463523
0.00714,3.16861,0.41166
0.00716,3.17427,0.36619
0.00718,3.17993,0.326324
0.0072,3.18558,0.291372
0.00722,3.19123,0.260728
0.00724,3.19687,0.23386
0.00726,3.20252,0.210302
0.00728,3.20816,0.189647
0.0073,3.21379,0.171536
0.00732,3.21942,0.155655
0.00734,3.22505,0.141729
0.00736,3.23068,0.129518
0.00738,3.2363,0.11881
0.0074,3.24192,0.109419
0.00742,3.24753,0.101182
0.00744,3.25314,0.0939588
0.00746,3.25875,0.0876226
0.00748,3.26435,0.0820646
0.0075,1.26995,-1.85614
0.00752,1.27555,-1.74198
0.00754,1.28114,-1.6419
0.00756,1.28673,-1.55416
0.00758,1.29232,-1.47725
0.0076,1.2979,-1.40983
0.00762,1.30348,-1.35072
0.00764,1.30905,-1.29891
0.00766,1.31462,-1.25349
0.00768,1.32019,-1.21368
0.0077,1.32576,-1.17878
0.00772,1.33132,-1.14819
0.00774,1.33687,-1.12138
0.00776,1.34243,-1.09787
0.00778,1.34797,-1.07727
0.0078,1.35352,-1.05921
0.00782,1.35906,-1.04339
0.00784,1.3646,-1.02951
0.00786,1.37013,-1.01736
0.00788,1.37566,-1.0067
0.0079,1.38119,-0.997366
0.00792,1.38671,-0.989184
0.00794,1.39223,-0.982015
0.00796,1.39775,-0.975734
0.00798,1.40326,-0.970231
0.008,3.40877,0.967923
0.00802,3.41427,0.853702
0.00804,3.41977,0.753564
0.00806,3.42527,0.665772
0.00808,3.43076,0.588805
0.0081,3.43625,0.521327
0.00812,3.44174,0.462168
0.00814,3.44722,0.410301
0.00816,3.45269,0.364827
0.00818,3.45817,0.324959
0.0082,3.46364,0.290004
0.00822,3.4691,0.259356
0.00824,3.47456,0.232484
0.00826,3.48002,0.208923
0.00828,3.48548,0.188265
0.0083,3.49093,0.17015
0.00832,3.49637,0.154266
0.00834,3.50181,0.140337
0.00836,3.50725,0.128123
0.00838,3.51269,0.117411
0.0084,3.51812,0.108016
0.00842,3.52354,0.0997768
0.00844,3.52896,0.0925498
0.00846,3.53438,0.0862103
0.00848,3.5398,0.080649
0.0085,3.54521,0.0757698
0.00852,1.55061,-1.86184
0.00854,1.55602,-1.74716
0.00856,1.56141,-1.64662
0.00858,1.56681,-1.55848
0.0086,1.5722,-1.48122
0.00862,1.57758,-1.41349
0.00864,1.58297,-1.35412
0.00866,1.58834,-1.30208
0.00868,1.59372,-1.25645
0.0087,1.59909,-1.21646
0.00872,1.60445,-1.1814
0.00874,1.60981,-1.15068
0.00876,1.61517,-1.12374
0.00878,1.62052,-1.10013
0.0088,1.62587,-1.07944
0.00882,1.63122,-1.0613
0.00884,1.63656,-1.04541
0.00886,1.6419,-1.03147
0.00888,1.64723,-1.01926
0.0089,1.65256,-1.00856
0.00892,1.65788,-0.999188
0.00894,1.6632,-0.990972
0.00896,1.66852,-0.983773
0.00898,1.67383,-0.977466
0.009,1.67913,-0.971941
0.00902,3.68444,0.966232
0.00904,3.68974,0.852027
0.00906,3.69503,0.751903
0.00908,3.70032,0.664123
0.0091,3.70561,0.587166
0.00912,3.71089,0.519696
0.00914,3.71617,0.460543
0.00916,3.72144,0.408682
0.00918,3.72671,0.363213
0.0092,3.73197,0.323348
0.00922,3.73723,0.288395
0.00924,3.74249,0.257749
0.00926,3.74774,0.230879
0.00928,3.75299,0.207319
0.0093,3.75823,0.18666
0.00932,3.76347,0.168546
0.00934,3.7687,0.152661
0.00936,3.77393,0.138731
0.00938,3.77916,0.126515
0.0094,3.78438,0.115802
0.00942,3.78959,0.106406
0.00944,3.79481,0.0981647
0.00946,3.80001,0.0909356
0.00948,3.80522,0.084594
0.0095,3.81042,0.0790304
0.00952,1.81561,-1.85918
0.00954,1.8208,-1.74502
0.00956,1.82599,-1.64495
0.00958,1.83117,-1.55722
0.0096,1.83634,-1.48031
0.00962,1.84152,-1.4129
0.00964,1.84668,-1.3538
0.00966,1.85185,-1.30199
0.00968,1.85701,-1.25658
0.0097,1.86216,-1.21678
0.00972,1.86731,-1.18188
0.00974,1.87246,-1.1513
0.00976,1.8776,-1.12449
0.00978,1.88273,-1.10099
0.0098,1.88786,-1.0804
0.00982,1.89299,-1.06235
0.00984,1.89811,-1.04653
0.00986,1.90323,-1.03266
0.00988,1.90834,-1.02051
0.0099,1.91345,-1.00986
0.00992,1.91856,-1.00053
0.00994,1.92366,-0.992356
0.00996,1.92875,-0.985193
0.00998,1.93384,-0.978918
0.01,1.93893,-0.973422
